series	run	learning_rate	wer_percent	best_avg_logprob_wer_percent	eval_name	path	eval_path
ATC aug4 train -> ATC test	lr7e-6_b10_b20p9999_clip1_frz8	7e-06	6.3572267920094	6.3572267920094	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr7e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr7e-6_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr1e-5_b10_b20p9999_clip1_frz8	1e-05	6.650998824911869	6.650998824911869	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr1e-5_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr1p2e-5_b10_b20p9999_clip1_frz8	1.2e-05	6.886016451233842	6.886016451233842	atc_test	/home/vol/src/plu/egs/atc/exp/20260614_070000_atc_aug4_lr1p2_validation/lr1p2e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_101922_atc_aug4_lr1p2_atc_test/lr1p2e-5_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr1p5e-5_b10_b20p9999_clip1_frz8	1.5e-05	7.367802585193889	7.367802585193889	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1p5e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr1p5e-5_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC test	lr2e-5_b10_b20p9999_clip1_frz8	2e-05	8.26086956521739	8.26086956521739	atc_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr2e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atc_test/lr2e-5_b10_b20p9999_clip1_frz8.atc_test
ATC aug4 train -> ATC val	lr1e-7_b10_b20p9999_clip1_frz8	1e-07	75.13989760685796	75.13989760685796	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1e-7_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr2e-7_b10_b20p9999_clip1_frz8	2e-07	61.35254196928206	61.35254196928206	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr2e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr2e-7_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr3e-7_b10_b20p9999_clip1_frz8	3e-07	43.17180616740088	43.17180616740088	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr3e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr3e-7_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr5e-7_b10_b20p9999_clip1_frz8	5e-07	26.372187165138705	26.372187165138705	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr5e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr5e-7_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr7e-7_b10_b20p9999_clip1_frz8	7e-07	19.60947731872842	19.60947731872842	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr7e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr7e-7_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr1e-6_b10_b20p9999_clip1_frz8	1e-06	15.025598285510181	15.025598285510181	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1e-6_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr1p5e-6_b10_b20p9999_clip1_frz8	1.5e-06	11.560900107155614	11.560900107155614	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1p5e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1p5e-6_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr2e-6_b10_b20p9999_clip1_frz8	2e-06	9.751160852482437	9.751160852482437	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr2e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr2e-6_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr3e-6_b10_b20p9999_clip1_frz8	3e-06	7.53661150136921	7.53661150136921	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr3e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr3e-6_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr4e-6_b10_b20p9999_clip1_frz8	4e-06	6.941302536016192	6.941302536016192	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr4e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr4e-6_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr5e-6_b10_b20p9999_clip1_frz8	5e-06	6.393618287891416	6.393618287891416	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr5e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr5e-6_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr7e-6_b10_b20p9999_clip1_frz8	7e-06	6.357899749970235	6.357899749970235	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr7e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr7e-6_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr1e-5_b10_b20p9999_clip1_frz8	1e-05	6.250744136206691	6.250744136206691	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1e-5_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr1p2e-5_b10_b20p9999_clip1_frz8	1.2e-05	7.881890701273961	7.881890701273961	atc_validation	/home/vol/src/plu/egs/atc/exp/20260614_070000_atc_aug4_lr1p2_validation/lr1p2e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260614_070000_atc_aug4_lr1p2_validation/lr1p2e-5_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr1p5e-5_b10_b20p9999_clip1_frz8	1.5e-05	9.060602452672937	9.060602452672937	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1p5e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1p5e-5_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATC val	lr2e-5_b10_b20p9999_clip1_frz8	2e-05	8.453387308012857	8.453387308012857	atc_validation	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr2e-5_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr2e-5_b10_b20p9999_clip1_frz8.atc_validation
ATC aug4 train -> ATCOSIM test	lr1e-7_b10_b20p9999_clip1_frz8	1e-07	64.89709389629891	64.89709389629891	atcosim_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atcosim_test/lr1e-7_b10_b20p9999_clip1_frz8.atcosim_test
ATC aug4 train -> ATCOSIM test	lr2e-7_b10_b20p9999_clip1_frz8	2e-07	62.127903895415606	62.127903895415606	atcosim_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr2e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atcosim_test/lr2e-7_b10_b20p9999_clip1_frz8.atcosim_test
ATC aug4 train -> ATCOSIM test	lr3e-7_b10_b20p9999_clip1_frz8	3e-07	51.42213585372317	51.42213585372317	atcosim_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr3e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atcosim_test/lr3e-7_b10_b20p9999_clip1_frz8.atcosim_test
ATC aug4 train -> ATCOSIM test	lr5e-7_b10_b20p9999_clip1_frz8	5e-07	19.936401377970146	19.936401377970146	atcosim_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr5e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atcosim_test/lr5e-7_b10_b20p9999_clip1_frz8.atcosim_test
ATC aug4 train -> ATCOSIM test	lr7e-7_b10_b20p9999_clip1_frz8	7e-07	18.876424344139213	18.876424344139213	atcosim_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr7e-7_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atcosim_test/lr7e-7_b10_b20p9999_clip1_frz8.atcosim_test
ATC aug4 train -> ATCOSIM test	lr1e-6_b10_b20p9999_clip1_frz8	1e-06	18.006359862202988	18.006359862202988	atcosim_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atcosim_test/lr1e-6_b10_b20p9999_clip1_frz8.atcosim_test
ATC aug4 train -> ATCOSIM test	lr1p5e-6_b10_b20p9999_clip1_frz8	1.5e-06	17.03913081883226	17.03913081883226	atcosim_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr1p5e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atcosim_test/lr1p5e-6_b10_b20p9999_clip1_frz8.atcosim_test
ATC aug4 train -> ATCOSIM test	lr2e-6_b10_b20p9999_clip1_frz8	2e-06	16.29273032417631	16.29273032417631	atcosim_test	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_validation/lr2e-6_b10_b20p9999_clip1_frz8	/home/vol/src/plu/egs/atc/exp/20260613_000915_atc_aug4_lr15_atcosim_test/lr2e-6_b10_b20p9999_clip1_frz8.atcosim_test
